Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Whiskey,SINGLETON DUFFTOWN 18Y 40%,700ML,6,2065.0,2484,5520.0,344.17,460.0,920.0
Whiskey,SINGLETON GLENDULLAN 12Y 40%,1L,6,1235.0,1512,3360.0,205.83,280.0,560.0
Whiskey,SINGLETON GLENDULLAN 15Y 40%,1L,6,1615.0,1944,4320.0,269.17,360.0,720.0
Whiskey,SINGLETON GLENDULLAN 18Y 40%,1L,6,2425.0,2970,6600.0,404.17,550.0,1100.0
Whiskey,SINGLETON MALT MASTER 40%,700ML,6,895.0,1080,2400.0,149.17,200.0,400.0
Whiskey,SINGLETON MASTERS ART,1L,6,2425.0,2970,6600.0,404.17,550.0,1100.0
Whiskey,SINGLETON OF GLENDULLAN MULTIBRAND 40%,1L,6,1260.0,1512,3360.0,210.0,280.0,560.0
Gin,SIPSMITH GIN 44.1%,1L,6,1025.0,1242,2760.0,170.83,230.0,460.0
Gin,SIPSMITH LONDON DRY GIN 41.6%,700ML,6,820.0,972,2160.0,136.67,180.0,360.0
Gin,SIPSMITH SLOE GIN 29%,500ML,6,1005.0,1242,2760.0,167.5,230.0,460.0
Whiskey,SIR EDWARDS 40%,1L,12,655.0,756,1680.0,55.58,70.0,140.0
Vodka,SKYY VODKA 40%,1L,12,835.0,972,2160.0,69.58,90.0,180.0
Vodka,SMIRNOFF BLACK 40%,1L,12,915.0,1080,2400.0,76.25,100.0,200.0
Vodka,SMIRNOFF BLUE 50%,1L,12,945.0,1188,2640.0,78.75,110.0,220.0
Vodka,SMIRNOFF BLUE 50%,500ML,24,945.0,1102,2448.0,40.38,51.0,102.0
Vodka,SMIRNOFF CITRUS 37.5%,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF GREEN APPLE 37.5%,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF LIME,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF ORANGE 37.5%,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF RASPBERRY 37.5%,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF RED 37.5%,1L,12,890.0,1080,2400.0,74.17,100.0,200.0
Vodka,SMIRNOFF RED 37.5%,700ML,12,835.0,972,2160.0,69.58,90.0,180.0
Vodka,SMIRNOFF RED 40%,375ML,24,835.0,1102,2448.0,35.79,51.0,102.0
Vodka,SMIRNOFF RED 40%,500ML,24,890.0,1102,2448.0,38.08,51.0,102.0
Vodka,SMIRNOFF SILVER,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Vodka,SMIRNOFF VANILLA,1L,12,935.0,1188,2640.0,77.92,110.0,220.0
Liqueur,SOUTHERN COMFORT 35%,1L,12,880.0,1080,2400.0,73.33,100.0,200.0
Brandy,ST REMY AUTHENTIC VSOP 40%,1L,12,950.0,1188,2640.0,79.17,110.0,220.0
Brandy,ST REMY AUTHENTIC VSOP 40%,700ML,12,835.0,972,2160.0,69.58,90.0,180.0
Brandy,ST REMY AUTHENTIC XO,1L,12,1255.0,1512,3360.0,104.58,140.0,280.0
Brandy,ST REMY AUTHENTIC XO,70CL,12,1005.0,1188,2640.0,83.75,110.0,220.0
Brandy,ST REMY NAPOLEON 40%,1L,12,910.0,1080,2400.0,75.83,100.0,200.0
Brandy,ST REMY RESERVE PRIVEE,1L,12,1265.0,1512,3360.0,105.42,140.0,280.0
Whiskey,STOLICHANIYA 40%,1L,12,835.0,972,2160.0,69.58,90.0,180.0
Whiskey,SUNTORY CHITA WHISKY 43%,700ML,6,1015.0,1242,2760.0,169.17,230.0,460.0
Vodka,SUNTORY HAKU VODKA 40%,700ML,6,815.0,972,2160.0,135.83,180.0,360.0
Whiskey,SUNTORY KAKUBIN WHISKY 40%,700ML,12,1215.0,1512,3360.0,101.25,140.0,280.0
Gin,SUNTORY ROKU GIN 43%,1L,6,935.0,1134,2520.0,155.83,210.0,420.0
Gin,SUNTORY ROKU GIN 43%,700ML,6,675.0,810,1800.0,112.5,150.0,300.0
Gin,SUNTORY SUI GIN 40%,700ML,12,960.0,1188,2640.0,80.0,110.0,220.0
Whiskey,SUNTORY TOKI WHISKY 43%,1L,6,1170.0,1404,3120.0,195.0,260.0,520.0
Whiskey,SUNTORY TOKI WHISKY 43%,700ML,6,1095.0,1350,3000.0,182.5,250.0,500.0
Whiskey,TALISKER 10Y 45.8%,750ML,6,1235.0,1512,3360.0,205.83,280.0,560.0
Whiskey,TALISKER MULTIBRAND 45.8%,1L,6,1435.0,1728,3840.0,239.17,320.0,640.0
Whiskey,TALISKER MULTIBRAND,50ML,24,890.0,1102,2448.0,38.08,51.0,102.0
Gin,TANQUERAY DRY GIN 47.3%,1L,12,1165.0,1404,3120.0,97.08,130.0,260.0
Gin,TANQUERAY FLOR DE SEVILLA GIN 41.3%,1L,12,1275.0,1512,3360.0,106.25,140.0,280.0
Gin,TANQUERAY MALACCA 41.3%,1L,12,1375.0,1620,3600.0,114.58,150.0,300.0
Gin,TANQUERAY RANGPUR 41.3%,1L,12,1390.0,1728,3840.0,115.83,160.0,320.0
Gin,TANQUERAY TEN GIN 47.3%,1L,12,1610.0,1944,4320.0,134.17,180.0,360.0
Whiskey,TEACHERS,1.14L,12,890.0,1080,2400.0,74.17,100.0,200.0
Whiskey,TEACHERS 40%,1.14L,6,550.0,648,1440.0,91.67,120.0,240.0
Whiskey,TEACHERS 40%,1L,12,860.0,1080,2400.0,71.67,100.0,200.0
Whiskey,TEACHERS 40%,700ML,12,760.0,972,2160.0,63.33,90.0,180.0
Whiskey,TEELING SINGLE GRAIN 46%,1L,6,1310.0,1566,3480.0,218.33,290.0,580.0
Whiskey,TEELING SMALL BATCH 46%,1L,6,1175.0,1404,3120.0,195.83,260.0,520.0
Gin,THE BOTANIST GIN 46%,1L,12,1950.0,2376,5280.0,162.5,220.0,440.0
Gin,THE BOTANIST GIN 46%,700ML,6,1020.0,1242,2760.0,170.0,230.0,460.0
Gin,THE LONDON NO.1 GIN 47%,1L,6,985.0,1188,2640.0,164.17,220.0,440.0
Whiskey,TOMATIN 12Y 43%,1L,6,1285.0,1566,3480.0,214.17,290.0,580.0
Whiskey,TOMATIN 12Y 43%,700ML,6,1155.0,1404,3120.0,192.5,260.0,520.0
Whiskey,TULLAMORE DEW 40%,1L,6,840.0,1026,2280.0,140.0,190.0,380.0
Whiskey,TULLAMORE DEW 40%,700ML,6,740.0,918,2040.0,123.33,170.0,340.0
Whiskey,VAT 69 40%,1L,12,835.0,972,2160.0,69.58,90.0,180.0
Gin,WHITLEY NEILL ALOE & CUCUMBER 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL BLACKBERRY 43%,1L,6,905.0,1080,2400.0,150.83,200.0,400.0
