Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Premium Spirits & Liquors,GRANTS CARBON 6Y,1L,12,1170.0,1580,3160,97.5,130,260
Premium Spirits & Liquors,GRANTS DISTILLERY EDITION 46.3%,1L,12,1030.0,1390,2780,85.83,120,230
Premium Spirits & Liquors,GRANTS FAMILY RESERVE 40%,1L,12,800.0,1080,2160,66.67,90,180
Premium Spirits & Liquors,GRANTS OXYGEN 8Y,1L,12,1235.0,1670,3330,102.92,140,280
Premium Spirits & Liquors,GRANTS RUM CASK 40%,1L,12,1000.0,1350,2700,83.33,110,230
Premium Spirits & Liquors,GRANTS SHERRY CASK 8Y 40%,1L,12,1060.0,1430,2860,88.33,120,240
Premium Spirits & Liquors,GRANTS SMOKY 40%,1L,12,920.0,1240,2480,76.67,100,210
Premium Spirits & Liquors,GRANTS TRIPLE WOOD 12Y 40%,1L,6,905.0,1220,2440,150.83,200,410
Premium Spirits & Liquors,GRANTS TRIPLE WOOD 40%,1L,12,800.0,1080,2160,66.67,90,180
Premium Spirits & Liquors,GRANTS TRIPLE WOOD 40%,700ML,12,740.0,1000,2000,61.67,80,170
Premium Spirits & Liquors,GREY GOOSE BLUE 40%,1L,6,1010.0,1360,2730,168.33,230,450
Premium Spirits & Liquors,GREY GOOSE BLUE 40%,750ML,12,1560.0,2110,4210,130.0,180,350
Premium Spirits & Liquors,GREY GOOSE BLUE 40%,750ML,6,880.0,1190,2380,146.67,200,400
Premium Spirits & Liquors,GREY GOOSE CITRON,750ML,6,770.0,1040,2080,128.33,170,350
Premium Spirits & Liquors,GREY GOOSE LE CITRON 40%,1L,6,1030.0,1390,2780,171.67,230,460
Premium Spirits & Liquors,GREY GOOSE LE ORANGE 40%,1L,6,1030.0,1390,2780,171.67,230,460
Premium Spirits & Liquors,GREY GOOSE STRAWBERRY & LEMONGRASS 30%,1L,6,1030.0,1390,2780,171.67,230,460
Premium Spirits & Liquors,GREY GOOSE WATERMELON & BASIL 30%,1L,6,1030.0,1390,2780,171.67,230,460
Premium Spirits & Liquors,GREY GOOSE WHITE PEACH & ROSEMARY 30%,1L,6,1030.0,1390,2780,171.67,230,460
Premium Spirits & Liquors,HAIG GOLD LABEL 43%,1L,12,1125.0,1520,3040,93.75,130,250
Premium Spirits & Liquors,HAKUSHU 12Y 43%,700ML,6,3865.0,5220,10440,644.17,870,1740
Premium Spirits & Liquors,HAKUSHU DISTILLERS RESERVE 43%,700ML,6,2365.0,3190,6390,394.17,530,1060
Premium Spirits & Liquors,HENDRICKS 41.4%,700ML,12,1795.0,2420,4850,149.58,200,400
Premium Spirits & Liquors,HENDRICKS 41.4%,700ML,6,995.0,1340,2690,165.83,220,450
Premium Spirits & Liquors,HENDRICKS 44%,1L,12,1975.0,2670,5330,164.58,220,440
Premium Spirits & Liquors,HENDRICKS AMAZONIA 43.4%,1L,12,2080.0,2810,5620,173.33,230,470
Premium Spirits & Liquors,HENNESSY VS 40%,1L,12,2355.0,3180,6360,196.25,260,530
Premium Spirits & Liquors,HENNESSY VS 40%,700ML,12,1975.0,2670,5330,164.58,220,440
Premium Spirits & Liquors,HENNESSY VSOP 40%,1L,12,3540.0,4780,9560,295.0,400,800
Premium Spirits & Liquors,HENNESSY XO 40%,700ML,12,8495.0,11470,22940,707.92,960,1910
Premium Spirits & Liquors,HIBIKI JAPANESE HARMONY 43%,700ML,6,2415.0,3260,6520,402.5,540,1090
Premium Spirits & Liquors,HIBIKI JAPANESE HARMONY MASTERS SELECT,700ML,6,3430.0,4630,9260,571.67,770,1540
Premium Spirits & Liquors,HIGHLAND PARK 12Y 40%,700ML,6,1100.0,1490,2970,183.33,250,500
Premium Spirits & Liquors,HIGHLAND QUEEN 40%,1.13L,12,775.0,1050,2090,64.58,90,170
Premium Spirits & Liquors,HIGHLAND QUEEN 40%,1L,12,745.0,1010,2010,62.08,80,170
Premium Spirits & Liquors,INK BITTER ORANGE GIN 40%,700ML,6,1410.0,1900,3810,235.0,320,630
Premium Spirits & Liquors,INK DRY GIN 40%,700ML,6,1410.0,1900,3810,235.0,320,630
Premium Spirits & Liquors,INK SLOE & BERRY GIN 26%,700ML,6,1410.0,1900,3810,235.0,320,630
Premium Spirits & Liquors,J & B WHISKY 40%,1L,12,1040.0,1400,2810,86.67,120,230
Premium Spirits & Liquors,JACK DANIEL 40%,1L,12,1330.0,1800,3590,110.83,150,300
Premium Spirits & Liquors,JACK DANIEL 40%,750ML,12,1235.0,1670,3330,102.92,140,280
Premium Spirits & Liquors,JACK DANIEL FIRE 35%,1L,12,1320.0,1780,3560,110.0,150,300
